ward,all
N08000332,5170.998196
N08000333,5030.9987
N08000334,5028.998559
N08000335,7661.998736
N08000336,5610.999032
N08000337,4702.998804
N08000338,4384.998296
N08000339,4869
N08000340,4869.999925
N08000341,4768.998512
N08000342,6502.997228
N08000343,6001.99968
N08000344,4731.998472
N08000345,5460.998568
N08000346,4451.998182
N08000347,5084.998232
N08000348,5931.999941
N08000349,5080.99904
N08000350,5107.998384
N08000351,4745.99793
N08000352,6595.999728
N08000353,5062.997562
N08000354,4992.998868
N08000355,4882.999128
N08000356,4813.999904
N08000357,5719.998193
N08000358,10508.9961
N08000359,6082.999776
N08000360,4863.9984
N08000401,3539.999718
N08000402,3084.99962
N08000403,4247.998599
N08000404,3254.998692
N08000405,3129.999327
N08000406,3068.998698
N08000407,3411.999518
N08000408,3091.999222
N08000409,3596.998851
N08000410,3684.999264
N08000411,3726.99932
N08000412,2958.99934
N08000413,3409.999194
N08000414,3415.999797
N08000415,3628.999767
N08000416,3318.99975
N08000417,3575.999664
N08000418,3355.99929
N08000419,3350.99896
N08000420,3497.999788
N08000421,4326.998739
N08000422,3339.999765
N08000423,3764.999628
N08000424,3546.99954
N08000425,3648.999743
N08000426,3652.999812
N08000427,2942.999829
N08000428,3166.999825
N08000429,3108.99904
N08000430,3602.999159
N08000431,2927.999692
N08000432,3235.999861
N08000433,3918.9995
N08000434,3889.998912
N08000435,2822.9993
N08000436,3194.999184
N08000437,3553.9998
N08000438,3381.999482
N08000439,4266.99834
N08000440,3907.998614
N08000501,3469.999268
N08000502,3698.998833
N08000503,4115.998656
N08000504,3441.999202
N08000505,3098.999104
N08000506,3364.999201
N08000507,4354.998434
N08000508,3439.999169
N08000509,3561.999246
N08000510,3505.999134
N08000511,3512.998944
N08000512,3229.999212
N08000513,4236.99936
N08000514,4101.998502
N08000515,3478.99888
N08000516,3840.999893
N08000517,3901.99972
N08000518,3985.999866
N08000519,4216.998588
N08000520,3188.998935
N08000521,4118.998884
N08000522,3226.9995
N08000523,3314.999688
N08000524,4171.999976
N08000525,3390.998908
N08000526,2984.999524
N08000527,3622.999296
N08000528,3326.999431
N08000529,4420.998754
N08000530,3495.99977
N08000531,3552.999966
N08000532,4351.999267
N08000533,3431.999507
N08000534,3701.999488
N08000535,4019.999123
N08000536,3526.999836
N08000537,3237.999804
N08000538,3538.99968
N08000539,3027.998912
N08000540,3885.999978
N08000601,2954.99925
N08000602,2538.999136
N08000603,2940.999994
N08000604,2838.99947
N08000605,3173.999348
N08000606,2286.999894
N08000607,2895.999131
N08000608,3189.999132
N08000609,3407.99886
N08000610,2412.99949
N08000611,2717.99915
N08000612,2663.99924
N08000613,2352.999358
N08000614,2810.999583
N08000615,2985.999856
N08000616,2898.999057
N08000617,2800.99974
N08000618,2865.999317
N08000619,2764.999614
N08000620,2527.999088
N08000621,2613.999423
N08000622,3196
N08000623,3205.999788
N08000624,3268
N08000625,3030.999842
N08000626,3207.999813
N08000627,3062.998898
N08000628,2521.99949
N08000629,3150.998949
N08000630,2509.999128
N08000631,2700
N08000632,2653.99932
N08000633,3168.999593
N08000634,2161.999345
N08000635,2377.999827
N08000636,2858.99951
N08000637,2720.998871
N08000638,2499.999488
N08000639,2321.999794
N08000640,2630.999856
N08000701,3700.9989
N08000702,2784.999364
N08000703,3168.999708
N08000704,2926.999588
N08000705,4199
N08000706,3318.9991
N08000707,3086.999265
N08000708,3164.999145
N08000709,3565.998964
N08000710,3430.999104
N08000711,3397.998745
N08000712,3896.999064
N08000713,3436.999644
N08000714,2967.999366
N08000715,3030.998997
N08000716,3268.999162
N08000717,3193.999369
N08000718,3557.999712
N08000719,3017.999604
N08000720,3070.999029
N08000721,3672.998514
N08000722,3512.99949
N08000723,3217.999752
N08000724,3489.998728
N08000725,3856.998548
N08000726,3116.999968
N08000727,3284.99942
N08000728,3405.999036
N08000729,3128.99886
N08000730,3565.999374
N08000731,3236.998779
N08000732,2922.999615
N08000733,3648.998712
N08000734,2802.999667
N08000735,2900.99921
N08000736,3969.999648
N08000737,2799.99977
N08000738,2923.99936
N08000739,3347.999564
N08000740,4461.99866
N08000801,2544.99904
N08000802,3501.9999
N08000803,3449.999322
N08000804,3267.999108
N08000805,3520.999616
N08000806,3174.998814
N08000807,3082.999347
N08000808,3230.999616
N08000809,3525.998616
N08000810,2861.999664
N08000811,3361.998695
N08000812,3145.99896
N08000813,3558.999537
N08000814,3226.9987
N08000815,3950.999358
N08000816,2826.9997
N08000817,3298.998528
N08000818,3861.998459
N08000819,3167.999586
N08000820,3353.999814
N08000821,3388.999448
N08000822,3007.999944
N08000823,3315.999312
N08000824,3455.999319
N08000825,3046.998991
N08000826,3166.999407
N08000827,3304.99944
N08000828,4160.999676
N08000829,4060.9998
N08000830,3013.999056
N08000831,3195.9992
N08000832,2956.99992
N08000833,2875.99984
N08000834,3113.99976
N08000835,2958.999804
N08000836,4186.999258
N08000837,3634.998482
N08000838,3759.998919
N08000839,3523.99878
N08000840,3608.99892
N08000901,3552.999962
N08000902,3281.999749
N08000903,3310.9993
N08000904,3299.999724
N08000905,3745.99914
N08000906,4256.99932
N08000907,3542.99907
N08000908,3513.999762
N08000909,3175.999245
N08000910,3659.998749
N08000911,3151.999896
N08000912,3451.99992
N08000913,4051.999014
N08000914,3051.999153
N08000915,3422.998789
N08000916,3459.99912
N08000917,3471.999228
N08000918,3571.999794
N08000919,3006.999552
N08000920,2988.99916
N08000921,3671.998876
N08000922,3111.99971
N08000923,4082.998698
N08000924,3457.999667
N08000925,2915.998944
N08000926,2917.999328
N08000927,3555.99909
N08000928,3512.999952
N08000929,3337.99884
N08000930,3880.998628
N08000931,3127.999148
N08000932,3649.999788
N08000933,3104.99904
N08000934,3328.99905
N08000935,3475.999378
N08000936,3756.999087
N08000937,3445.998893
N08000938,3564.999126
N08000939,3510
N08000940,3403.999998
N08001001,4005.999583
N08001002,4014.999534
N08001003,5044.998816
N08001004,3946.999979
N08001005,4247.999842
N08001006,4074.998787
N08001007,4589.99904
N08001008,4052.999979
N08001009,3985.99893
N08001010,3788.999064
N08001011,4186.998973
N08001012,3968.999685
N08001013,4345.998712
N08001014,3483.999324
N08001015,4330.999512
N08001016,3958.998912
N08001017,4362.99922
N08001018,3785.998656
N08001019,4738.999455
N08001020,3920.999328
N08001021,4219.999056
N08001022,3892.99932
N08001023,3834.999828
N08001024,4747.999395
N08001025,3778.998504
N08001026,3782.998813
N08001027,4502.99859
N08001028,4186.999351
N08001029,4582.999876
N08001030,4839.99925
N08001031,3936.999402
N08001032,4062.999104
N08001033,3848.999625
N08001034,3695.998914
N08001035,4409.998796
N08001036,3906.998784
N08001037,4739.998351
N08001038,3881.999548
N08001039,3932.998916
N08001040,4715.99939
N08001041,3988.998948
N08001101,3179.999872
N08001102,4049.998976
N08001103,4781.998482
N08001104,3764.999076
N08001105,4176.999618
N08001106,4380.999194
N08001107,3987.999912
N08001108,3557.999216
N08001109,3600
N08001110,4071.999736
N08001111,3979.998902
N08001112,3693.999357
N08001113,3740.99885
N08001114,3561.999293
N08001115,3507.998652
N08001116,4031.999424
N08001117,4430.999216
N08001118,3608.99946
N08001119,3948.999977
N08001120,4025.999646
N08001121,3393.99957
N08001122,3592.999312
N08001123,4437
N08001124,3505.9994
N08001125,4064.99951
N08001126,4117.99815
N08001127,3445.999488
N08001128,4154.999662
N08001129,3661.998806
N08001130,4769.99916
N08001131,4066.99872
N08001132,3628.999641
N08001133,3769.999104
N08001134,3359.999486
N08001135,3626.999072
N08001136,3683.998758
N08001137,3933.998592
N08001138,3735.998532
N08001139,3786.999454
N08001140,4235.998456
